hormone,n_male,n_female,U_stat,p_value,mean_male,mean_female,sem_male,sem_female,pv_code
GABA,31,27,354.5,0.32203947467495997,221.9483870967742,229.38481481481475,4.52582156972927,3.96173191466034,-1
Arg,30,28,516.0,0.1372644450615922,6975.601999999999,6424.825714285714,270.5052685697637,264.7437247321152,-1
Tryptophan,30,29,314.0,0.06769330727422258,4207.5,6695.068965517241,573.7973119803386,897.2367561676859,0
Asparagine (Asn),28,29,556.5,0.016647531187115105,778.5642857142857,643.7048275862068,33.92555125404974,38.04261216776482,1
glutamate,31,27,570.0,0.018580093028986524,13041.697741935483,10992.224444444442,624.9965035808798,516.7886649357529,1
Tyrosine,29,28,563.0,0.012484035855628886,31967.533448275855,29880.966785714285,577.6693928428334,643.8894125232514,1
Glycine (Gly),30,28,711.0,6.172009074722248e-06,2179.6,1582.1785714285713,106.92039255833092,61.82219883429804,3
Aspartate (Asp),30,28,703.0,1.1026854739225352e-05,6095.434333333333,4895.1125,171.19747861480067,157.2363414981774,3
Serine,30,27,735.0,1.3928367935794407e-07,9576.035,6876.955555555556,346.8220057511861,222.34470079368904,3
Total AG,30,28,418.0,0.9813781192536437,1268.170344,1277.2201499999999,56.38952686062507,63.039573621664424,-1
OEA,30,28,370.0,0.44114619689236656,50665.655249999996,52490.73375000001,1560.8861785029453,1643.8917593972128,-1
PEA,30,28,457.0,0.5700561190408695,55247.412150000004,54115.49250000001,1565.3874796515408,1369.578444857668,-1
AEA,30,29,324.0,0.09385162847675711,582.9854310000002,653.5896982758621,26.967263029483426,27.52824448001173,0
SEA,30,27,529.0,0.04840192087151131,72117.54270000002,61110.18900000001,3877.2491680865437,3596.67623879163,1
T,31,29,896.0,4.1783385822245284e-11,1.4936085387096776,0.5710834706896551,0.04446743483243361,0.03982892481648352,3
Prog,31,29,164.0,2.4871494115167872e-05,1.744003651612903,2.28292824137931,0.0779645609556141,0.07412537142866105,3
DHEA,31,27,674.0,7.034782375248099e-05,10.874703548387096,6.403618799999999,0.8544023298234736,0.25294610834288955,3
Cort,30,28,197.0,0.0005356278247164365,28.699483499999996,35.28178535714286,1.3083691428809807,1.3666073033990778,3
