Experiment,sex,Type,Genotype,Hierarchy,Mice.chips,Animal,Last.day.Glicko,RunningTime(N.events),RunningTime(min),WalkingTime(N.events),WalkingTime(min),StaticTime(N.events),StaticTime(min),movementTime(min),RunningTimeHighVelocity(N.events),RunningTimeHighVelocity(min),Median/mean.speed.(cm/sec),Median/mean.Aceleration.(cm/sec^2),Distance.traveled.(m),Angular.velocity.(rad/sec),sleepingSumTime(min),hidingSumTime(min),eatingSumTime(min),drinkingSumTime(min),Frequency.visits.the.hiding.boxes.(1/hour),Frequency.visits.outside.sleeping.box.(1/hour),ROI.exploration.(bits/hour),ArenaSumTime(min),CenterTimeAlone(min),InsideZoneTime(min),OutsideZoneTime(min),Chasing.(N.events),Chasing.duration.(sec),Being.chased.(N.events),Being.chased.duration.(sec),Chasing.plus.being.chasing.all(N.events),Chasing.plus.being.chasing.duration(sec),Foraging.correlation,Distance.pairs(cm),Together.(N.events),Time.together(min),Contact.snout-head.(N.events),Contact.snout-rear.(N.events),Contact.snout-head.(1/min),Contact.snout-rear.(1/min),Approaching.(N.events),Approaching.duration.(sec),Being.approached.(N.events),Being.approached.duration.(sec),Approach.and.being.events,Approach.and.being.duration.sec,Avoiding.(N.events),Avoiding.duration.(sec),Avoid.and.being.events,Avoid.plus.being.duration.sec,Being.avoided.(N.events),Being.avoided.duration.(sec),Last.Day.Stability,Overall.Stability,Glicko.per.day.y
Exp55R,male,wild,WT,beta,0007946daf,18,2291.438,791.3333333,2.59934445,6707.833333,39.22136383,5732.166667,20.1968555,41.82070833,98.16666667,0.219108333,3.976985316,7248.883054,258.2855723,1.980848969,137.7314,12.72012777,6.052519444,1.019758334,18.96088799,24.29469466,0.279973306,89.51551444,22.66375556,46.03984172,17.31375278,2.5,2.174666667,2.666666667,3.156,5.166666667,5.330666667,0.002724021,19.48709158,340.6666667,5.492752778,185.1666667,188,0.771627946,0.783434542,2.166666667,2.557166667,5.333333333,5.419666667,7.5,7.976833333,2,3.432666667,2.5,4.672333333,0.5,1.239666667,0.75,0.749725598,2132.675712
Exp55R,male,wild,WT,gamma,0007946e6f,18,2074.581,533.3333333,1.566961117,3935.333333,24.74123606,3298.333333,11.10558339,26.30819722,62.66666667,0.119808333,4.170033381,32.25959026,162.2324126,1.960342174,176.2667278,5.452941672,1.602205556,0.551336111,12.96020713,24.08635568,0.206572099,58.24737,12.2660805,26.35557772,11.89738883,1.166666667,0.9295,2,1.835833333,3.166666667,2.765333333,0.010813125,16.41170062,244.8333333,4.347563833,129.1666667,131.6666667,0.538263045,0.548681223,2.833333333,3.1695,5.333333333,6.463166667,8.166666667,9.632666667,1.166666667,1.145833333,2.5,4.539333333,1.333333333,3.3935,0.794114561,0.802237087,2054.220001
Exp55R,male,wild,WT,alpha,00079474c9,18,2427.503,585.3333333,1.860963889,5075.166667,28.17689167,4384.666667,15.43099728,30.03785556,71.33333333,0.153452777,3.34038329,25.61052143,183.9169162,1.753873977,170.705825,3.865552783,2.897191722,0.409347223,8.042665735,17.96027965,0.178530007,65.39566167,12.48721117,36.55751939,9.778908333,3.833333333,4.1325,1,0.791833333,4.833333333,4.924333333,0.017982401,14.8227392,311.3333333,4.804472222,155.6666667,171,0.648687852,0.712583747,3.166666667,3.114666667,2.666666667,2.664166667,5.833333333,5.778833333,2,3.915333333,3.833333333,6.912666667,1.833333333,2.997333333,0.762783507,0.902556701,2434.892786
Exp55R,male,wild,WT,delta,00079485fe,18,2064.615,649.1666667,1.926427772,5021.666667,32.33973617,4217,14.21084717,34.26616389,81.33333333,0.176175001,4.207165837,33.47900873,204.7299826,2.150522246,153.7295611,8.716363883,4.968725056,1.372983334,19.08620067,25.29497093,0.271034561,77.52112222,19.83556939,35.54131939,13.98650272,1.166666667,0.861833333,2.166666667,1.619833333,3.333333333,2.481666667,0.001184171,18.62448961,235.8333333,4.1570195,121.3333333,132.1666667,0.505617703,0.550761933,1.333333333,1.8515,2.833333333,3.4895,4.166666667,5.341,2,7.098833333,2.5,8.312333333,0.5,1.2135,0.817715018,0.877590578,2172.102602
Exp55R,male,wild,WT,epsilon,7947702,18,1956.368,335,1.032869444,2851.5,15.7443,2459.666667,8.366061167,16.77716944,41,0.076047222,7.342515349,52.43918132,106.2398332,2.067588235,195.5065556,2.505016661,1.183936111,1.166041667,4.667235489,21.29409107,0.225778374,41.95547833,9.518958278,20.00266944,5.726811056,0.833333333,0.664333333,1.666666667,1.359333333,2.5,2.023666667,0.000132402,10.08144495,200.3333333,2.986980556,104,109,0.43339161,0.454226986,1.833333333,1.747333333,3,3.080833333,4.833333333,4.828166667,1.166666667,1.653833333,1.666666667,2.158333333,0.5,0.5045,0.652528989,0.844897792,2041.131932
Exp56R,male,wild,WT,gamma,0007945c9b,19,2145.451,576.1666667,1.733911111,4305,26.28428,3721.5,13.760545,28.01819111,100.8333333,0.26955,3.91819312,32.41726027,179.4260644,2.220687355,161.4026083,25.33507167,8.0137,1.315419439,31.29650033,6.542713795,1.019226053,53.22835611,12.43201944,35.40512444,7.218561667,2.833333333,3.013333333,4.5,6.4265,7.333333333,9.439833333,-0.008585714,19.69794476,275.3333333,4.572311111,111.8333333,119.5,0.466044219,0.497994188,0.333333333,0.307333333,3.166666667,4.144833333,3.5,4.452166667,0.666666667,0.781333333,0.833333333,0.968833333,0.166666667,0.1875,0.640769905,0.849810848,2072.174852
Exp56L,male,wild,WT,gamma,0007945de2,19,2159.97,953.8333333,3.241002778,6402.166667,40.19382444,5425.166667,20.26286111,43.43482722,221,0.709988894,4.993387689,32.49994625,346.1122565,2.014593594,133.4022944,14.44118611,1.032038889,0.756783333,35.16389383,52.15015928,0.231372613,86.56930556,21.22163339,37.42631889,27.28729667,8.333333333,10.227,9.333333333,12.26666667,17.66666667,22.49366667,0.010868942,35.59525485,235.3333333,3.158822278,106.5,123,0.446393135,0.51492998,3.5,4.33,2.833333333,2.630333333,6.333333333,6.960333333,1.666666667,4.265333333,3.333333333,8.424,1.666666667,4.158666667,1,0.923852138,2102.91051
Exp56L,male,wild,WT,delta,0007947d79,19,2079.931,495.8333333,1.717363944,4307.666667,23.12381167,3813.166667,14.26892222,24.84117444,103.1666667,0.314158333,4.009130854,27.08806185,171.0983439,1.810720591,170.4312556,5.795480611,0.33675555,0.581480561,11.62520954,44.37928693,0.226461844,58.18605278,6.067722167,20.94848111,19.06117833,2.666666667,2.401166667,5,7.409,7.666666667,9.810166667,-0.002649779,32.03542323,206.1666667,2.854174944,128.3333333,131.3333333,0.546331629,0.558721717,1.5,1.893,3.166666667,3.130166667,4.666666667,5.023166667,1,1.463333333,1.833333333,2.968333333,0.833333333,1.505,1,0.842981192,2130.820546
Exp56R,male,wild,WT,epsilon,000794875e,19,2038.137,824.5,2.377572167,7320.5,42.82754111,6534,22.80255611,45.20511444,129.6666667,0.310686117,4.135068548,25.17055134,258.6091684,1.93135324,138.6341194,12.669245,9.971063944,2.009677772,24.83663382,37.6299627,0.403796982,88.662675,17.68541661,46.49792833,22.89344667,1.666666667,1.859666667,6.333333333,9.670333333,8,11.53,0.001213997,27.69478892,467.6666667,8.974957778,199.8333333,229.8333333,0.832750894,0.957766461,2.166666667,3.012833333,4.5,6.399333333,6.666666667,9.412166667,0.666666667,0.7215,1.833333333,3.81,1.166666667,3.0885,0.624674913,0.686208209,2168.705842
Exp56R,male,wild,WT,alpha,00079490ab,19,2542.376,1028,3.914088833,6142,34.27195778,5233.5,17.59610833,38.18604778,254,0.881333328,5.255052552,31.71776898,358.4886201,2.202029904,157.351875,9.831139444,4.798466667,1.396111117,29.62899333,22.58641769,0.377369864,72.78302,13.17507217,37.71980778,19.74595611,23,39.11,5.166666667,9.195666667,28.16666667,48.30566667,-0.008617909,32.62431895,350.6666667,4.960202778,125.6666667,147.1666667,0.52368266,0.613281471,2.5,3.130166667,1.833333333,2.052,4.333333333,5.182166667,0.833333333,0.700666667,1.5,1.541833333,0.666666667,0.841166667,1,0.699443393,2412.247764
Exp56R,male,wild,WT,delta,000794a12a,19,2077.868,886.3333333,2.747475056,7268.333333,43.85785,6493.166667,23.98886444,46.60532556,218.3333333,0.791030561,3.872643678,29.93669758,322.0844074,1.984231358,132.4695389,17.04238,8.333372278,2.163266667,25.2532114,22.29518045,0.349494208,90.45412556,16.93927783,49.15358389,23.40504167,2,1.6775,13.83333333,24.576,15.83333333,26.2535,0.016254612,27.38834646,435.6666667,8.303194444,191.5,206.5,0.798016837,0.86052349,1.333333333,1.716333333,4,4.869833333,5.333333333,6.586166667,1.5,3.348833333,1.666666667,3.473833333,0.166666667,0.125,0.845892888,0.784634238,2121.751272
Exp56L,male,wild,WT,epsilon,7947370,19,1882.776,667.5,1.932099944,5925,37.65113833,5146.666667,18.06243,39.58323944,114.6666667,0.312027778,3.843491875,30.83652521,232.992407,1.906227487,145.2878194,13.99540556,0.782999994,1.160652783,28.48640717,35.57574648,0.315964785,75.12956611,15.38191661,38.40590278,20.09436167,2.833333333,3.119833333,9,10.75583333,11.83333333,13.87566667,0.002478139,35.06761686,243.1666667,3.671722222,116.8333333,119.5,0.48945532,0.500792087,0.833333333,1.244833333,6.5,8.018666667,7.333333333,9.2635,1.666666667,3.359333333,2.166666667,4.041666667,0.5,0.682333333,1,0.896035596,1961.567387
Exp56L,male,wild,WT,beta,7948045,19,2318.6,746.1666667,2.400472167,6148.666667,36.04373667,5352,19.37114944,38.44420833,153.3333333,0.411427772,3.564088516,24.67876101,252.1981938,1.734296255,148.9110083,12.67278328,2.082833333,2.067349994,26.86210817,53.41542991,0.329523869,72.828995,12.23902772,38.28709722,20.61053333,9.166666667,13.30733333,5.5,6.5105,14.66666667,19.81783333,0.000424555,32.97765866,230.3333333,3.177341667,110.8333333,122.3333333,0.479894527,0.526028151,2,1.804833333,4.5,3.045833333,6.5,4.850666667,1.833333333,2.843666667,2.666666667,4.9245,0.833333333,2.080833333,0.805300362,0.916452303,2236.853262
