Archetype,Behavior,Pearson_r,p_value,p_adjusted_BH
Archetype1,Together (N events),0.9396806127511154,1.051591624292043e-28,5.678594771177032e-27
Archetype1,movementTime(min),0.9042926495222513,4.1700061113258974e-23,1.1259016500579923e-21
Archetype1,WalkingTime(min),0.897774178826647,2.569274189804666e-22,4.6246935416484e-21
Archetype1,InsideZoneTime(min),0.89177484976584,1.233065263436251e-21,1.6646381056389387e-20
Archetype1,Contact snout-head (1/min),0.8755770777581642,5.583504037361502e-20,5.001680219349524e-19
Archetype1,Contact snout-head (N events),0.8750860962761107,6.215038626225275e-20,5.001680219349524e-19
Archetype1,RunningTime(N.events),0.8748916486290934,6.483659543601234e-20,5.001680219349524e-19
Archetype1,Contact snout-rear (1/min),0.8650810055696474,5.026302307635529e-19,3.041918331049645e-18
Archetype1,Contact snout-rear (N events),0.8650379589994951,5.0698638850827415e-19,3.041918331049645e-18
Archetype1,Avoid.and.being.events,0.8486258812358755,1.1142610304759121e-17,6.017009564569926e-17
Archetype1,Distance.traveled.(m),0.8426384126599059,3.1450716708287675e-17,1.5439442747704858e-16
Archetype1,ArenaSumTime(min),0.8096121304820101,4.851411297901577e-15,2.1831350840557097e-14
Archetype1,Being avoided (N events),0.7912506822583837,5.326937879630157e-14,2.2127280423079114e-13
Archetype1,WalkingTime(N.events),0.7873054660959473,8.641204185137294e-14,3.333035899981528e-13
Archetype1,RunningTime(min),0.7586943348606117,2.1781048464503157e-12,7.841177447221137e-12
Archetype1,Frequency.visits.the.hiding.boxes.(1/hour),0.7050975952161256,3.1949130660015336e-10,1.0148547386122518e-09
Archetype1,Approaching (N events),0.6805489258449616,2.204313187600018e-09,6.612939562800053e-09
Archetype1,Time together(min),0.6630263187730863,7.841242795962363e-09,2.2285637420103558e-08
Archetype1,Approach.and.being.events,0.6534990916848761,1.510132662942327e-08,4.077358189944283e-08
Archetype1,Avoiding (N events),0.624174581086169,9.892194265461239e-08,2.54370709683289e-07
Archetype1,Median/mean.Aceleration.(cm/sec^2),0.5567666474005809,3.842634629715595e-06,9.43192136384737e-06
Archetype1,Median/mean.speed.(cm/sec),0.5510157063819735,5.063722672644896e-06,1.1888740187948886e-05
Archetype1,Angular.velocity.(rad/sec),0.5366818449680547,9.855624823799826e-06,2.217515585354961e-05
Archetype1,StaticTime(N.events),0.5201908136847138,2.0439934292783017e-05,4.415025807241132e-05
Archetype1,Being avoided duration (sec),0.46466722258942184,0.0001838623594191436,0.0003818679772551444
Archetype1,OutsideZoneTime(min),0.45993464081044266,0.00021801341753783607,0.00043602683507567213
Archetype1,RunningTimeHighVelocity(N.events),0.44915136508518383,0.0003185000527192134,0.0006142501016727687
Archetype1,Chasing.plus.being.chasing.duration(sec),0.438170777871028,0.00046264441339431396,0.0008614758042514812
Archetype1,Being approached (N events),0.41191874542018986,0.001075169043696342,0.0019353042786534158
Archetype1,Chasing duration (sec),0.3896947132548162,0.0020858389245606624,0.0036333968363314764
Archetype1,Distance pairs(cm),0.3844108907182753,0.002425826721026207,0.0040935825917317245
Archetype1,Avoid.plus.being.duration.sec,0.3785184892302771,0.002862475149666039,0.004546284061234297
Archetype1,Being chased duration (sec),0.36965661847483633,0.0036509928058617463,0.005412436240285888
Archetype1,hidingSumTime(min),0.3690787879783843,0.0037085211276032936,0.005412436240285888
Archetype1,Chasing (N events),0.3531358862654948,0.005646795572769566,0.008024393708672542
Archetype1,Chasing.plus.being.chasing.all(N.events),0.3509293480957307,0.005975389711672886,0.008273616523854764
Archetype1,drinkingSumTime(min),0.2910516758949815,0.024061970008278685,0.03169137513285485
Archetype1,Being chased (N events),0.2457963772910456,0.058353382056034,0.07502577692918656
Archetype1,Approaching duration (sec),0.23852433098076894,0.06645763428028058,0.08345842444500351
Archetype1,eatingSumTime(min),0.22290494420091175,0.08691419303834039,0.10429703164600847
Archetype1,Avoiding duration (sec),0.209458767507726,0.10822916039047784,0.12594574762733948
Archetype1,Approach.and.being.duration.sec,0.20865570849645168,0.10961944700898066,0.12594574762733948
Archetype1,StaticTime(min),0.1930909799361725,0.13936399852602455,0.15678449834177763
Archetype1,Last.Day.Stability,0.17690327892722313,0.17632625451808231,0.19431872946890705
Archetype1,Being approached duration (sec),0.1516763313058428,0.24732423528789776,0.2671101741109296
Archetype1,Glicko.per.day.y,0.09848323507105279,0.45408432540731997,0.48079516807833883
Archetype1,Last.day.Glicko,0.056677743637719935,0.6670976915154412,0.6927552950352658
Archetype1,RunningTimeHighVelocity(min),0.028107487110436723,0.8311851807347695,0.8468679199939162
Archetype1,Overall.Stability,-0.02009685383535214,0.878863386757509,0.8788633867575091
Archetype1,Foraging correlation,-0.2338436571745006,0.07213509906537044,0.08852943976204554
Archetype1,ROI.exploration.(bits/hour),-0.34225550403981475,0.007435262285820555,0.01003760408585775
Archetype1,Frequency.visits.outside.sleeping.box.(1/hour),-0.3735147158162735,0.00328672415183662,0.0050709458342622134
Archetype1,CenterTimeAlone(min),-0.382458421435575,0.0025634403138065165,0.004194720513501573
Archetype1,sleepingSumTime(min),-0.7286159774158282,4.138785201900476e-11,1.3968400056414107e-10
Archetype2,RunningTimeHighVelocity(min),0.7800360822746922,2.052690621400501e-13,1.1084529355562705e-11
Archetype2,Chasing.plus.being.chasing.all(N.events),0.6493599386748549,1.993282200220766e-08,3.4983641490048796e-07
Archetype2,StaticTime(min),0.6453883220845138,2.5913808511147254e-08,3.4983641490048796e-07
Archetype2,Being chased (N events),0.6380541115333807,4.165774080656126e-08,4.499036007108616e-07
Archetype2,Chasing.plus.being.chasing.duration(sec),0.5388744495606038,8.91866129577901e-06,5.2426538039048416e-05
Archetype2,RunningTimeHighVelocity(N.events),0.5358295399934176,1.0243933786210593e-05,5.2426538039048416e-05
Archetype2,Being chased duration (sec),0.534908578304717,1.067947997091727e-05,5.2426538039048416e-05
Archetype2,Chasing (N events),0.5058763811148884,3.736085846117764e-05,0.00016812386307529936
Archetype2,Chasing duration (sec),0.4160541276870273,0.0009456325865831688,0.002687587351341638
Archetype2,Distance pairs(cm),0.4031959006069807,0.0014021253126136907,0.003785738344056965
Archetype2,Foraging correlation,0.3619977571912045,0.004481502177204461,0.010521787720393083
Archetype2,OutsideZoneTime(min),0.3317906794962546,0.009603462323063729,0.020743478617817654
Archetype2,StaticTime(N.events),0.30468001077959844,0.01793422523083487,0.03586845046166974
Archetype2,eatingSumTime(min),0.27663009549972845,0.0323840099076681,0.060301259828071635
Archetype2,Overall.Stability,0.2090720984185125,0.10889687064800835,0.16801231471407002
Archetype2,CenterTimeAlone(min),0.19004677085553204,0.1458295847344056,0.21283236690967305
Archetype2,hidingSumTime(min),0.15575404431671763,0.23469350296012043,0.3249602348678591
Archetype2,ROI.exploration.(bits/hour),0.12216176619382596,0.3524516720303028,0.4531521497532465
Archetype2,Frequency.visits.outside.sleeping.box.(1/hour),0.11417488007062741,0.3850462155471749,0.4824876850608268
Archetype2,WalkingTime(N.events),0.11225557891329457,0.39313811375326624,0.4824876850608268
Archetype2,Last.Day.Stability,0.07030265662033465,0.5935021899477196,0.6818961331314225
Archetype2,Glicko.per.day.y,0.05182428579952953,0.6941354606990733,0.7809023932864574
Archetype2,sleepingSumTime(min),0.03581858901404483,0.7858524418382087,0.8555024035644888
Archetype2,Frequency.visits.the.hiding.boxes.(1/hour),0.03474389690395534,0.7921318551523044,0.8555024035644888
Archetype2,RunningTime(min),0.03032321762365907,0.8180960522238029,0.8563953270932523
Archetype2,drinkingSumTime(min),0.029208191710288024,0.8246769816453541,0.8563953270932523
Archetype2,Last.day.Glicko,0.020562698776715103,0.8760772880757732,0.8926070482281463
Archetype2,Distance.traveled.(m),0.0075227751651286605,0.9545084298058134,0.9545084298058134
Archetype2,movementTime(min),-0.07063783455560632,0.591738108506316,0.6818961331314225
Archetype2,WalkingTime(min),-0.0827961956359243,0.5293970526610092,0.6352764631932111
Archetype2,ArenaSumTime(min),-0.14232612141013296,0.27801198739585103,0.366162129740877
Archetype2,RunningTime(N.events),-0.1449288280753755,0.2692271658331123,0.3634566738747016
Archetype2,InsideZoneTime(min),-0.1870110217424737,0.15249728666610907,0.2167066705255234
Archetype2,Being avoided (N events),-0.19258239932482715,0.1404289492973541,0.21064342394603117
Archetype2,Avoiding duration (sec),-0.22599013739858154,0.08252361552519383,0.13106691877530785
Archetype2,Median/mean.speed.(cm/sec),-0.23996076091251084,0.0647890714004202,0.10601848047341488
Archetype2,Avoiding (N events),-0.2590316631119554,0.045662959561038455,0.0770562442592524
Archetype2,Being avoided duration (sec),-0.2591860707747121,0.045529501090547306,0.0770562442592524
Archetype2,Avoid.and.being.events,-0.27226687662184335,0.03533111190844936,0.06359600143520885
Archetype2,Avoid.plus.being.duration.sec,-0.3018271598013812,0.01909301500379863,0.03682224322161164
Archetype2,Being approached duration (sec),-0.31023207337235914,0.015850306163564906,0.03291986664740403
Archetype2,Together (N events),-0.34175050398136325,0.007529114082194612,0.016940506684937878
Archetype2,Approaching duration (sec),-0.36989236897114536,0.0036277495627584123,0.008904476199497921
Archetype2,Approach.and.being.duration.sec,-0.37287888197208713,0.003344443468797708,0.008599997491194106
Archetype2,Contact snout-rear (N events),-0.43065520138622004,0.0005930876091699049,0.0017792628275097148
Archetype2,Contact snout-head (N events),-0.4346165534261323,0.0005206799193553975,0.0016539244497171448
Archetype2,Contact snout-rear (1/min),-0.43732598176896714,0.0004758794613378314,0.001606093182015181
Archetype2,Contact snout-head (1/min),-0.4412336306398762,0.0004174157893757446,0.0015026968417526806
Archetype2,Being approached (N events),-0.4497454148751113,0.00031201918845025434,0.0012035025840224096
Archetype2,Approaching (N events),-0.46069480992986545,0.00021216363956557313,0.0008812951181954576
Archetype2,Time together(min),-0.5611105712113768,3.108958861806516e-06,2.0985472317193982e-05
Archetype2,Approach.and.being.events,-0.5616356657982591,3.0297299222019995e-06,2.0985472317193982e-05
Archetype2,Median/mean.Aceleration.(cm/sec^2),-0.6205259396523058,1.233106860214331e-07,1.1097961741928978e-06
Archetype2,Angular.velocity.(rad/sec),-0.7717103825415296,5.316171952600901e-13,1.4353664272022433e-11
Archetype3,sleepingSumTime(min),0.4774852759275919,0.00011444472506541193,0.00032526395544906547
Archetype3,Angular.velocity.(rad/sec),0.4076478428808701,0.0012255212150616064,0.0026471258245330696
Archetype3,Median/mean.Aceleration.(cm/sec^2),0.2394503033557211,0.06537812229824634,0.12173857255535525
Archetype3,Approach.and.being.duration.sec,0.2327063755034178,0.07357138369826546,0.12815660386149466
Archetype3,Being approached duration (sec),0.20907490392411238,0.10889201462708897,0.17955348176001645
Archetype3,Approaching duration (sec),0.20859383774237447,0.10972712774223227,0.17955348176001645
Archetype3,Being approached (N events),0.16763421526093067,0.2004552706243111,0.2640142588710439
Archetype3,Frequency.visits.outside.sleeping.box.(1/hour),0.14716013604748124,0.2618452195346417,0.3288288803458291
Archetype3,ROI.exploration.(bits/hour),0.1169721847869345,0.3734317848922593,0.43837644313439134
Archetype3,Approach.and.being.events,0.11121516794489952,0.3975661680119552,0.4567781504818209
Archetype3,Time together(min),0.10395952707576465,0.42925176301290724,0.48290823338952066
Archetype3,Avoiding duration (sec),0.08248703346129811,0.5309410037190637,0.5851186571597845
Archetype3,CenterTimeAlone(min),0.0761695512931112,0.5629692737432942,0.6080068156427577
Archetype3,Avoid.plus.being.duration.sec,0.04049357989946067,0.7586989499628559,0.773014024490457
Archetype3,Approaching (N events),-0.010706566320872475,0.935290515343693,0.935290515343693
Archetype3,Last.day.Glicko,-0.06093106880035454,0.6437430429172237,0.6685023907217323
Archetype3,Being avoided duration (sec),-0.0637206720588181,0.6286077874829371,0.665584716158404
Archetype3,Glicko.per.day.y,-0.12227121889640324,0.35201715934281214,0.4224205912113746
Archetype3,Median/mean.speed.(cm/sec),-0.14421942137530358,0.27160298914083486,0.3333309412182973
Archetype3,Contact snout-rear (1/min),-0.1646871548822024,0.20859701456606608,0.26819616158494214
Archetype3,Contact snout-head (1/min),-0.16811007784674997,0.199162105556703,0.2640142588710439
Archetype3,Contact snout-rear (N events),-0.1714530981431856,0.19024450096900167,0.26341546288015616
Archetype3,Contact snout-head (N events),-0.17450532659614795,0.182356000276311,0.259137474076863
Archetype3,Avoiding (N events),-0.1763971418601094,0.17758674535453048,0.259137474076863
Archetype3,Last.Day.Stability,-0.19641611946759888,0.1325499476476075,0.19882492147141123
Archetype3,Overall.Stability,-0.19882969486822455,0.1277635184239405,0.19712085699693674
Archetype3,Foraging correlation,-0.20385249317109505,0.11822377064936919,0.18776716514899813
Archetype3,drinkingSumTime(min),-0.23507053882798182,0.07061082412935024,0.12709948343283042
Archetype3,Together (N events),-0.3146849516617729,0.014332219221162186,0.027640708497955642
Archetype3,Avoid.and.being.events,-0.32124457066222384,0.01232403294987313,0.02464806589974626
Archetype3,Being avoided (N events),-0.36195510112865026,0.004486559722617664,0.009318239423898225
Archetype3,hidingSumTime(min),-0.419039320446095,0.0008610607747909752,0.001937386743279694
Archetype3,ArenaSumTime(min),-0.4261095583363264,0.0006873341951991143,0.0016137411539457467
Archetype3,InsideZoneTime(min),-0.43854274697170353,0.00045692368386036957,0.0011215399512936345
Archetype3,eatingSumTime(min),-0.43907650674598725,0.0004488269175438695,0.0011215399512936345
Archetype3,RunningTime(N.events),-0.4695071378783257,0.00015406447148511715,0.0004159740730098163
Archetype3,Frequency.visits.the.hiding.boxes.(1/hour),-0.5327853246556729,1.1750039364732852e-05,3.525011809419856e-05
Archetype3,WalkingTime(min),-0.5489506819024744,5.5842055918908325e-06,1.773806482130029e-05
Archetype3,movementTime(min),-0.56593607337202,2.4482808102241643e-06,8.262947734506555e-06
Archetype3,RunningTime(min),-0.5660894943344297,2.4296045262903228e-06,8.262947734506555e-06
Archetype3,Distance.traveled.(m),-0.6020755557612469,3.6040676769081303e-07,1.3901403896645646e-06
Archetype3,OutsideZoneTime(min),-0.6624797947581392,8.146830225594827e-09,3.384067939862467e-08
Archetype3,WalkingTime(N.events),-0.6697464031968097,4.868455199722025e-09,2.1908048398749113e-08
Archetype3,StaticTime(N.events),-0.6773646774119536,2.793881081985023e-09,1.371541622065375e-08
Archetype3,Distance pairs(cm),-0.6819529813233982,1.9837071948225693e-09,1.0712018852041874e-08
Archetype3,Chasing duration (sec),-0.6987804672048671,5.349520116680664e-10,3.2097120700083984e-09
Archetype3,Chasing (N events),-0.7645037599927825,1.1737023577513781e-12,7.922490914821802e-12
Archetype3,StaticTime(min),-0.7937426410427213,3.903351495818705e-14,3.011156868203001e-13
Archetype3,Being chased duration (sec),-0.8057362765558456,8.21611443291038e-15,7.394502989619342e-14
Archetype3,RunningTimeHighVelocity(min),-0.8145420472347883,2.438954344283665e-15,2.6340706918263582e-14
Archetype3,Being chased (N events),-0.8234496857868909,6.674977084928482e-16,9.011219064653452e-15
Archetype3,Chasing.plus.being.chasing.duration(sec),-0.8581078094513981,1.9593387452580173e-18,3.526809741464431e-17
