Archetype,Hormone,Pearson_r,p_value,p_adjusted_BH
Archetype1,Corticosterone,0.4246541233578757,0.0008016605367881406,0.008551045725740166
Archetype1,Progesterone,0.3839759402322681,0.0026796945312105394,0.01715004499974745
Archetype1,Cort/DHEA,0.23525578614326936,0.07287112933168384,0.23318761386138828
Archetype1,GABA,0.13754740266422757,0.2988679967403284,0.5231676710342408
Archetype1,Arginine,0.11911200424729546,0.36889472990334804,0.5902315678453569
Archetype1,Tryptophan,0.09398941020718349,0.47890222837058993,0.729454388251319
Archetype1,Glycine/Serine,0.053972044188366125,0.6847476260816218,0.8376365123978504
Archetype1,DHEA,0.01812110483429219,0.8916443317556665,0.9483842435755412
Archetype1,Last.day.Glicko,0.013570568790170563,0.9187472359638055,0.9483842435755412
Archetype1,AEA,-0.0043827202721727875,0.9737191095700538,0.9737191095700538
Archetype1,PEA,-0.01910171770672833,0.8858188504296028,0.9483842435755412
Archetype1,P/Cort,-0.04212794171608601,0.7513893235437058,0.8587306554785209
Archetype1,Asparagine/Aspartate,-0.050018770503914,0.7067558073356863,0.8376365123978504
Archetype1,Tyrosine/Tryptophan,-0.052410487775722756,0.6934110540291798,0.8376365123978504
Archetype1,Glycine,-0.07997546230392756,0.5470907911884892,0.729454388251319
Archetype1,OEA,-0.08012605522720594,0.5463339614084015,0.729454388251319
Archetype1,Glutamate,-0.08255102348597504,0.5342168958360378,0.729454388251319
Archetype1,Tyrosine,-0.1342724263788904,0.31063080467658044,0.5231676710342408
Archetype1,Glutamate/GABA,-0.14404061849364844,0.27641314337256523,0.5203070934071816
Archetype1,SEA,-0.14614610521457372,0.26937894603883666,0.5203070934071816
Archetype1,OEA/PEA,-0.16773285645873973,0.20414423046754746,0.43550769166410125
Archetype1,Asparagine,-0.1768972071996905,0.18014835606411042,0.41176767100368095
Archetype1,Serine,-0.1890266364766221,0.15161854566332833,0.3732148816328082
Archetype1,1&2-AG,-0.21817654810875411,0.09690348891247741,0.2584093037666064
Archetype1,1&2-AG/OEA,-0.22442895713597102,0.08747656007171091,0.25447726566315904
Archetype1,Aspartate,-0.2506336483554763,0.055537752817232916,0.1974675655723837
Archetype1,AEA/Cort,-0.3252883674705006,0.011940260676434073,0.04776104270573629
Archetype1,OEA/Cort,-0.34367906412015253,0.0076970302866076435,0.035186424167349226
Archetype1,PEA/Cort,-0.34692175178639484,0.007104598661101661,0.035186424167349226
Archetype1,1&2-AG/Cort,-0.4022438995254433,0.0015877777309752576,0.01270222184780206
Archetype1,Testosterone,-0.4375189408842394,0.0005298911389841593,0.008478258223746548
Archetype1,T/Cort,-0.46773748193523296,0.00018746535776553957,0.005998891448497266
Archetype2,T/Cort,0.5908011147226867,8.395159726613335e-07,2.686451112516267e-05
Archetype2,Testosterone,0.5755571393993292,1.8532512235319512e-06,2.965201957651122e-05
Archetype2,Serine,0.5363754305477417,1.193652910169857e-05,0.00012732297708478474
Archetype2,Asparagine,0.5165771440286874,2.809233382681397e-05,0.00022473867061451177
Archetype2,OEA/Cort,0.4813498741162351,0.00011364619491538029,0.0007273356474584338
Archetype2,PEA/Cort,0.45863167122360965,0.000259016815688714,0.0013814230170064747
Archetype2,Glutamate/GABA,0.4363203267711988,0.000551111425616186,0.0025193665171025646
Archetype2,Glycine,0.4298545147332101,0.0006794515404411174,0.0027178061617644696
Archetype2,Asparagine/Aspartate,0.4016546924340348,0.0016155542712844237,0.005169773668110156
Archetype2,AEA/Cort,0.3904089019603368,0.0022361257356144893,0.005963001961638638
Archetype2,Aspartate,0.3787866816268449,0.0030928242554698194,0.007613105859618017
Archetype2,DHEA,0.35650018416394236,0.005580945083600541,0.012756445905372666
Archetype2,1&2-AG/Cort,0.33881338274362666,0.008666749206085607,0.017333498412171213
Archetype2,OEA,0.28223554303375714,0.030330442500045917,0.053920786666748294
Archetype2,Glutamate,0.2666846488907603,0.04117590558701247,0.06934889362023153
Archetype2,PEA,0.23622950531928355,0.07165908276519053,0.11465453242430486
Archetype2,SEA,0.20080328575324763,0.12726472921579238,0.19392720642406458
Archetype2,OEA/PEA,0.15335183841388494,0.24621605596611398,0.35813244504162034
Archetype2,Glycine/Serine,0.1448791212035696,0.27359733177079526,0.3806571572463238
Archetype2,AEA,0.13016769657293054,0.3257879986102592,0.4250870567608051
Archetype2,1&2-AG,0.12849429663498171,0.332099263094379,0.4250870567608051
Archetype2,Tyrosine,0.06720829175261045,0.6130225451284939,0.7005971944325644
Archetype2,Last.day.Glicko,0.04360950629016678,0.7429419238345474,0.7924713854235172
Archetype2,Arginine,0.010310942940814926,0.9382199755283123,0.9382199755283123
Archetype2,Tryptophan,-0.03692628332843098,0.7812717238449703,0.8064740375173888
Archetype2,Tyrosine/Tryptophan,-0.052101405233320894,0.6951305047975322,0.7670405570179666
Archetype2,P/Cort,-0.0733558962631501,0.5808481147943042,0.6884125804969531
Archetype2,1&2-AG/OEA,-0.08205844833296358,0.5366674623102093,0.6605137997664114
Archetype2,Corticosterone,-0.299721333577651,0.021097075589550197,0.039712142286212136
Archetype2,GABA,-0.3450484696408096,0.00744178317316963,0.01587580410276188
Archetype2,Progesterone,-0.3978394207045218,0.001806192936614949,0.005254379451970761
Archetype2,Cort/DHEA,-0.4147891429299858,0.0010893150010162246,0.0038731200036132432
Archetype3,Cort/DHEA,0.2579002739750026,0.048599936911234376,0.16268983914215782
Archetype3,GABA,0.2548870230527383,0.05138559051400535,0.16268983914215782
Archetype3,1&2-AG/OEA,0.23902875012377772,0.06826404910893981,0.18203746429050616
Archetype3,Progesterone,0.13750457690348009,0.29901992195531235,0.4784318751284998
Archetype3,P/Cort,0.10370676204468506,0.4344179816073582,0.6120925789372259
Archetype3,Tyrosine/Tryptophan,0.08926180168591026,0.5013882883305794,0.6417770090631416
Archetype3,Tyrosine,0.024927167650128673,0.8513457864956339,0.9032603560614726
Archetype3,1&2-AG,0.020919949636722106,0.8750334699345516,0.9032603560614726
Archetype3,Corticosterone,0.00966306754850177,0.9420949833956697,0.9420949833956697
Archetype3,Tryptophan,-0.027722303514138763,0.8348987037613883,0.9032603560614726
Archetype3,OEA/PEA,-0.03931698625269403,0.7674956931178891,0.8771379349918733
Archetype3,Last.day.Glicko,-0.0536917073674488,0.6862999882987726,0.8133925787244712
Archetype3,1&2-AG/Cort,-0.0649015194337157,0.6252898366573104,0.7695874912705359
Archetype3,Arginine,-0.09311234877020008,0.4830328851494822,0.6417770090631416
Archetype3,SEA,-0.10247124269298831,0.43994154111113115,0.6120925789372259
Archetype3,AEA,-0.12911620581340422,0.329744798634897,0.5024682645865097
Archetype3,AEA/Cort,-0.17067986151003714,0.1961931195667148,0.3304305171649934
Archetype3,Glycine/Serine,-0.18454092116309528,0.16175085519290164,0.2875570758984918
Archetype3,Aspartate,-0.21067791236835157,0.1092313841219998,0.20561201717082314
Archetype3,Glutamate,-0.21348384340786153,0.10448430835738665,0.20561201717082314
Archetype3,PEA/Cort,-0.22493534327043616,0.08674577061250367,0.18505764397334118
Archetype3,PEA,-0.2265864590348804,0.0843962495796149,0.18505764397334118
Archetype3,OEA,-0.23095492827830713,0.0784212781296298,0.18505764397334118
Archetype3,OEA/Cort,-0.2502506371970717,0.05592463220511675,0.16268983914215782
Archetype3,T/Cort,-0.2752988423061438,0.034829764111227825,0.1393190564449113
Archetype3,Testosterone,-0.28078850601580485,0.031226571864456192,0.1393190564449113
Archetype3,Glutamate/GABA,-0.3430486037157895,0.007817088184701525,0.041691136985074796
Archetype3,Asparagine/Aspartate,-0.37308861266800913,0.0036107009233873606,0.023108485909679108
Archetype3,DHEA,-0.3745216808721842,0.0034737042166124677,0.023108485909679108
Archetype3,Glycine,-0.3809344829027359,0.002915432074137761,0.023108485909679108
Archetype3,Asparagine,-0.4017350248795445,0.0016117417720664562,0.023108485909679108
Archetype3,Serine,-0.4134200969569407,0.0011358422813274587,0.023108485909679108
