Experiment,sex,Type,Genotype,Hierarchy,Mice.chips,Animal,PC1,PC2,Archetype1_prob,Archetype2_prob,Archetype3_prob,Dominant_archetype
Exp55R,male,wild,WT,epsilon,7947702,18,-6.214980135240117,0.9270992506890657,0.0,0.10085886076392384,0.8991411392360761,3
Exp55R,male,wild,WT,alpha,00079474c9,18,-1.3955648564292353,0.039327321134319845,0.16449831641865678,0.17074892386878046,0.6647527597125629,3
Exp55R,male,wild,WT,gamma,0007946e6f,18,-3.95133306155548,1.2991155552368336,0.09274597740697875,0.05235083077308643,0.8549031918199348,3
Exp55R,male,wild,WT,delta,00079485fe,18,-4.327583600055214,1.2169300417364126,0.07630913441374662,0.0625741944200844,0.8611166711661691,3
Exp55R,male,wild,WT,beta,0007946daf,18,-3.122679089702188,-0.32101184247819226,0.08941909102666343,0.21592940427987217,0.6946515046934644,3
Exp56L,male,wild,WT,alpha,7948811,19,-2.8911901597548177,-1.2561682834855663,0.07789940703470713,0.31148498277463915,0.6106156101906538,3
Exp56L,male,wild,WT,epsilon,7947370,19,-4.748089514039598,-2.1751513862872054,0.0,0.4090562689088446,0.5909437310911553,3
Exp56L,male,wild,WT,beta,7948045,19,-1.2957682686084782,-2.027279869433328,0.12302618405312692,0.38381310026163107,0.49316071568524206,3
Exp56L,male,wild,WT,delta,0007947d79,19,-5.58721800912741,-1.225956062579995,0.0,0.3125555865926213,0.6874444134073786,3
Exp56L,male,wild,WT,gamma,0007945de2,19,-2.75333548090805,-3.193554188055681,0.040743308024901045,0.5110227281860971,0.448233963789002,2
Exp56R,male,wild,WT,epsilon,000794875e,19,-1.6931226845224363,0.2442096209578255,0.15742195211720253,0.15094998243239285,0.6916280654504047,3
Exp56R,male,wild,WT,alpha,00079490ab,19,-2.807994883192447,-0.8503816167156023,0.09004038602793098,0.2691758234158871,0.640783790556182,3
Exp56R,male,wild,WT,gamma,0007945c9b,19,-8.060159506741295,1.4711677204978115,0.0,0.05030406065899823,0.9496959393410017,3
Exp56R,male,wild,WT,delta,000794a12a,19,0.5966910210633756,-1.1123979937441881,0.21670595152334465,0.28057572724087215,0.5027183212357832,3
Exp56R,male,wild,WT,beta,79483,19,-1.3459774447990613,0.6111955537185938,0.17897701183482112,0.11143477925410866,0.7095882089110701,3
Exp57L,female,wild,WT,epsilon,0007945a2c,22,-3.79527180704664,0.06177674998506969,0.0716610975318303,0.17947533306679755,0.7488635694013722,3
Exp57L,female,wild,WT,gamma,00079485fe,22,-2.226139534674305,1.0532285973877111,0.15444635766186088,0.06981496924157037,0.7757386730965687,3
Exp57L,female,wild,WT,beta,0007947d6d,22,-3.3906734260527736,0.6780147355839576,0.10092068347370592,0.1139427462453246,0.7851365702809694,3
Exp57L,female,wild,WT,alpha,0007944fe9,22,-2.954763553767925,1.2496665941176273,0.13041956205661107,0.052872707009508205,0.8167077309338808,3
Exp57L,female,wild,WT,delta,0007945de2,22,-6.0770648099785305,0.8368134582788666,0.0,0.1098929149372925,0.8901070850627076,3
Exp57R,female,wild,WT,beta,00079481c8,22,1.2679522600148267,0.8643299342001146,0.2861937452552439,0.07324875394554407,0.6405575007992121,3
Exp57R,female,wild,WT,epsilon,7945855,22,2.1393515967485506,1.2885836884518316,0.3293949926402078,0.02540343985157955,0.6452015675082128,3
Exp57R,female,wild,WT,delta,0007947d79,22,1.766745980463819,0.9431793379010054,0.30732334884424933,0.06280601099439154,0.6298706401613592,3
Exp57R,female,wild,WT,gamma,0007948d25,22,-1.3158363916602545,0.9197209904213403,0.18692011528330524,0.07941893932279308,0.7336609453939017,3
Exp57R,female,wild,WT,alpha,0007945c9b,22,0.9079404546679073,1.3671774570048434,0.28322750684002324,0.02295127939057906,0.6938212137693976,3
Exp58L,male,wild,WT,gamma,00079451fd,23,-1.0386974684816004,-7.7178969784911,0.00813883155683494,0.9705890037112691,0.021272164731895978,2
