Experiment,sex,Hierarchy,PC1,PC2,Dominant_archetype,Type,Genotype,Mice.chips,Last.day.Glicko,Animal,Progesterone,Testosterone,Corticosterone,DHEA,Cort/DHEA,T/Cort,P/Cort,AEA,1&2-AG,OEA,SEA,PEA,1&2-AG/Cort,OEA/PEA,OEA/Cort,AEA/Cort,PEA/Cort,1&2-AG/OEA,Tryptophan,Tyrosine,Glutamate,GABA,Arginine,Glycine/Serine,Asparagine/Aspartate,Glutamate/GABA,Tyrosine/Tryptophan,Aspartate,Asparagine,Serine,Glycine,Archetype1_prob,Archetype2_prob,Archetype3_prob
Exp55R,male,alpha,-1.3955648564292353,0.039327321134319845,3,wild,WT,00079474c9,2427.503,18,2.2764105,1.71774,30.24297,18.215145,1.660320025,0.056797993,0.075270732,414.27855,1232.9982,45345.825,100693.53,58389.66,40.76974583,0.776607108,1499.383989,13.69834213,1930.685379,0.027190997,379.44,25839.56,5337.57,198.79,5394.0,0.204949573,0.13903934,26.85029428,68.09919882,4879.77,678.48,7406.7,1518.0,0.16449831641865678,0.17074892386878046,0.6647527597125629
Exp55R,male,beta,-3.122679089702188,-0.32101184247819226,3,wild,WT,0007946daf,2291.438,18,1.6047315,1.2713004,25.56225,7.394274,3.457033104,0.049733509,0.062777396,470.12805,1110.55455,42944.58,62282.115,51083.865,43.44510166,0.840668184,1680.0,18.39149723,1998.410351,0.02586018,1913.52,32236.1,12985.98,268.83,7854.36,0.204857936,0.110552006,48.30554626,16.84649233,5838.7,645.48,8695.05,1781.25,0.08941909102666343,0.21592940427987217,0.6946515046934644
Exp55R,male,delta,-4.327583600055214,1.2169300417364126,3,wild,WT,00079485fe,2064.615,18,1.6844895,1.594863,26.24292,8.7189345,3.009876952,0.060773077,0.064188341,569.0412,1430.28585,54916.785,99077.58,65250.36,54.50177991,0.841631908,2092.632413,21.68360838,2486.398617,0.026044603,950.64,36435.3,9513.84,170.98,5018.16,0.262387351,0.121594046,55.64299918,38.32712699,6556.9,797.28,9221.1,2419.5,0.07630913441374662,0.0625741944200844,0.8611166711661691
Exp55R,male,epsilon,-6.214980135240117,0.9270992506890657,3,wild,WT,7947702,1956.368,18,1.762641,1.5090975,34.734285,7.855407,4.421704057,0.043446914,0.050746431,582.33735,1434.7368,42388.92,47673.36,45416.7,41.30606978,0.933333333,1220.376927,16.76549121,1307.546708,0.033846977,2568.36,38695.99,12089.28,264.71,8907.06,0.257091141,0.061124688,45.66990291,15.06641982,7471.94,456.72,7541.1,1938.75,0.0,0.10085886076392384,0.8991411392360761
Exp55R,male,gamma,-3.95133306155548,1.2991155552368336,3,wild,WT,0007946e6f,2074.581,18,2.150739,1.6432335,33.648615,7.940403,4.237645747,0.048835101,0.063917608,677.8485,1657.93635,52628.94,97444.62,66537.45,49.27205325,0.790967192,1564.07448,20.14491533,1977.42017,0.03150237,2535.72,29895.77,11776.17,233.81,7100.94,0.194402011,0.127064244,50.36640862,11.78985456,5547.43,704.88,9131.85,1775.25,0.09274597740697875,0.05235083077308643,0.8549031918199348
Exp56L,male,alpha,-2.8911901597548177,-1.2561682834855663,3,wild,WT,7948811,2485.579,19,1.5180345,1.7739945,26.06796,15.781905,1.651762572,0.068052678,0.058233728,618.4836,1795.7457,49711.725,59832.675,55721.925,68.88708207,0.892139405,1907.004806,23.72581514,2137.563699,0.036123182,2397.0,34080.49,14342.79,231.75,9865.8,0.191605233,0.202492084,61.88906149,14.21797664,7333.62,1485.0,13551.3,2596.5,0.07789940703470713,0.31148498277463915,0.6106156101906538
Exp56L,male,beta,-1.2957682686084782,-2.027279869433328,3,wild,WT,7948045,2318.6,19,1.34529795,1.0221552,46.88874,10.0309725,4.674396226,0.021799588,0.02869128,587.95065,1168.7004,52538.22,71918.28,57337.875,24.92496919,0.916291718,1120.486923,12.53927169,1222.849558,0.022244766,4179.96,35586.41,12361.23,224.54,6211.8,0.244711478,0.094323092,55.05134943,8.513576685,6003.62,566.28,8388.45,2052.75,0.12302618405312692,0.38381310026163107,0.49316071568524206
Exp56L,male,delta,-5.58721800912741,-1.225956062579995,3,wild,WT,0007947d79,2079.931,19,1.9294605,1.51065,35.83845,9.608247,3.7299676,0.042151656,0.053837722,437.6673,762.048,39993.345,56283.255,46811.52,21.2634196,0.854348353,1115.934004,12.21222737,1306.181489,0.01905437,5120.4,32782.72,14013.51,258.53,5618.46,0.227441745,0.096889082,54.20457974,6.402374814,6266.96,607.2,8471.4,1926.75,0.0,0.3125555865926213,0.6874444134073786
Exp56L,male,epsilon,-4.748089514039598,-2.1751513862872054,3,wild,WT,7947370,1882.776,19,2.441043,1.8177345,42.926895,12.313296,3.486222941,0.042344887,0.056865119,485.77725,1052.94735,45813.6,76199.13,53258.31,24.52884957,0.860215054,1067.247002,11.31638452,1240.67464,0.022983292,2735.64,32916.66,13462.26,212.18,6478.02,0.222662506,0.106904817,63.44735602,12.03252621,6395.97,683.76,7305.9,1626.75,0.0,0.4090562689088446,0.5909437310911553
Exp56L,male,gamma,-2.75333548090805,-3.193554188055681,2,wild,WT,0007945de2,2159.97,19,1.824417,1.437318,22.144185,11.2444335,1.969346433,0.064907243,0.082388085,323.8704,905.07375,38947.23,37858.59,38283.84,40.87184739,1.017328199,1758.80169,14.6255281,1728.843938,0.023238463,738.48,31598.98,9782.85,247.2,10713.18,0.188114915,0.132317151,39.57463592,42.78921569,6434.54,851.4,11434.5,2151.0,0.040743308024901045,0.5110227281860971,0.448233963789002
Exp56R,male,alpha,-2.807994883192447,-0.8503816167156023,3,wild,WT,00079490ab,2542.376,19,2.100087,1.29060675,17.09127,5.924124,2.885029078,0.07551263,0.122874836,573.6339,1212.78465,38326.365,29710.8,40234.32,70.95930554,0.952578918,2242.452726,33.56297689,2354.086033,0.031643613,6989.04,39494.2,18191.25,253.38,9192.42,0.17835524,0.114808129,71.79434052,5.650876229,7151.41,821.04,10407.6,1856.25,0.09004038602793098,0.2691758234158871,0.640783790556182
Exp56R,male,beta,-1.3459774447990613,0.6111955537185938,3,wild,WT,79483,2222.947,19,1.9008,1.585737,27.08181,13.60854,1.990059918,0.058553583,0.070187332,425.6469,960.97995,47528.775,82841.535,55787.13,35.48433247,0.851966663,1755.007328,15.71707726,2059.948356,0.020218908,3341.52,34209.0,11327.82,211.15,8832.24,0.182788921,0.106808432,53.64821217,10.23755656,5202.96,555.72,8091.3,1479.0,0.17897701183482112,0.11143477925410866,0.7095882089110701
Exp56R,male,delta,0.5966910210633756,-1.1123979937441881,3,wild,WT,000794a12a,2077.868,19,1.850282,1.5355205,25.996815,18.37838,1.414532456,0.059065716,0.071173411,301.10535,907.4268,49002.975,108090.045,57564.675,34.90530667,0.851268161,1884.960715,11.58239384,2214.297213,0.01851779,583.44,34574.62,7294.14,248.23,8125.8,0.203866961,0.130167252,29.38460299,59.25994104,7483.91,974.16,10481.1,2136.75,0.21670595152334465,0.28057572724087215,0.5027183212357832
Exp56R,male,epsilon,-1.6931226845224363,0.2442096209578255,3,wild,WT,000794875e,2038.137,19,1.439019,1.9234125,29.76885,11.6416305,2.557103148,0.064611582,0.048339758,431.2035,976.7142,41810.58,58432.185,46505.34,32.80994059,0.899049012,1404.507732,14.48505737,1562.214866,0.023360456,1570.8,30770.0,12108.39,235.87,6147.42,0.187136561,0.133984962,51.33501505,19.58874459,5586.0,748.44,8099.7,1515.75,0.15742195211720253,0.15094998243239285,0.6916280654504047
Exp56R,male,gamma,-8.060159506741295,1.4711677204978115,3,wild,WT,0007945c9b,2145.451,19,2.1745935,0.9234459,25.90164,7.9161705,3.271991173,0.035652024,0.083955823,472.7646,1003.67505,39372.48,51126.39,41167.035,38.7494788,0.956407961,1520.076721,18.25230372,1589.360172,0.025491791,1115.88,29807.08,9244.83,231.75,6189.18,0.275282173,0.119386073,39.89139159,26.71172528,5859.98,699.6,8598.45,2367.0,0.0,0.05030406065899823,0.9496959393410017
Exp57L,female,alpha,-2.954763553767925,1.2496665941176273,3,wild,WT,0007944fe9,2330.924,22,2.048733,0.7202466,27.07722,5.250069,5.15749793,0.026599725,0.075662605,815.2893,1829.28375,62883.135,79300.62,57473.955,67.55803402,1.094115326,2322.363042,30.10978601,2122.59438,0.029090212,5157.12,30094.87,15342.39,207.03,6754.68,0.201796036,0.185400669,74.10708593,5.835596224,5503.54,1020.36,7266.0,1466.25,0.13041956205661107,0.052872707009508205,0.8167077309338808
Exp57L,female,beta,-3.3906734260527736,0.6780147355839576,3,wild,WT,0007947d6d,2273.01,22,1.501281,0.5863887,27.52812,4.629555,5.946169772,0.021301444,0.054536271,748.0998,1612.4346,61026.21,84814.695,60598.125,58.57409078,1.007064327,2216.868061,27.17584056,2201.317235,0.026422001,3329.28,27216.97,11968.74,219.39,5637.6,0.199497291,0.154222189,54.55462874,8.175031839,4835.88,745.8,6146.7,1226.25,0.10092068347370592,0.1139427462453246,0.7851365702809694
Exp57L,female,delta,-6.0770648099785305,0.8368134582788666,3,wild,WT,0007945de2,2129.747,22,1.5814035,0.32390685,30.441015,3.734775,8.150695825,0.010640475,0.051949763,523.02915,977.6214,29030.4,21140.028,28596.645,32.11526948,1.015168038,953.6607107,17.18172505,939.4116786,0.033675781,15726.36,32516.65,12890.43,218.36,5799.42,0.225397388,0.131284537,59.03292728,2.067652655,5298.72,695.64,5926.2,1335.75,0.0,0.1098929149372925,0.8901070850627076
Exp57L,female,epsilon,-3.79527180704664,0.06177674998506969,3,wild,WT,0007945a2c,2114.995,22,2.4647895,0.3590325,35.47584,6.790716,5.22416782,0.010120479,0.069477974,680.76855,1294.26255,58460.535,112022.19,62466.39,36.48292895,0.935871834,1647.897132,19.18963864,1760.814966,0.022139082,14602.32,38192.81,18661.65,300.76,6023.88,0.225712835,0.134733044,62.04831095,2.615530272,6740.44,908.16,10337.25,2333.25,0.0716610975318303,0.17947533306679755,0.7488635694013722
Exp57L,female,gamma,-2.226139534674305,1.0532285973877111,3,wild,WT,00079485fe,2151.339,22,2.693224,0.43754175,62.15157,6.1642215,10.08263087,0.007039915,0.043333161,857.10555,1368.76635,57431.43,89883.675,59736.285,22.02303739,0.961416164,924.0543722,13.79056957,961.1387934,0.023833054,8027.4,29470.42,13925.31,255.44,5929.92,0.210143463,0.094200078,54.51499374,3.671228542,5857.32,551.76,7423.5,1560.0,0.15444635766186088,0.06981496924157037,0.7757386730965687
Exp57R,female,alpha,0.9079404546679073,1.3671774570048434,3,wild,WT,0007945c9b,2410.714,22,2.1115215,0.2650536,28.53144,4.834512,5.901617371,0.009289878,0.074006832,899.29035,1733.7726,65494.17,76556.34,59543.505,60.76709062,1.099938104,2295.508744,31.51927663,2086.943561,0.026472167,4094.28,33921.21,12617.01,255.44,8802.66,0.289654262,0.127821316,49.39324303,8.285024473,5659.15,723.36,7956.9,2304.75,0.28322750684002324,0.02295127939057906,0.6938212137693976
Exp57R,female,beta,1.2679522600148267,0.8643299342001146,3,wild,WT,00079481c8,2268.801,22,2.434644,0.9642132,31.847715,8.374718,3.802840287,0.030275742,0.076446426,458.5896,1085.5782,61000.695,123183.585,66829.455,34.08653337,0.912781572,1915.386865,14.39945064,2098.406589,0.017796161,438.6,27218.78,5658.03,239.99,4750.2,0.178203939,0.173350286,23.57610734,62.05832193,4545.94,788.04,6632.85,1182.0,0.2861937452552439,0.07324875394554407,0.6405575007992121
Exp57R,female,delta,1.766745980463819,0.9431793379010054,3,wild,WT,0007947d79,2162.899,22,1.8510795,0.69013215,39.57903,6.076404,6.51356131,0.017436813,0.046769198,688.2813,1493.16615,58707.18,59379.075,53839.485,37.72619364,1.090411247,1483.290015,17.39004973,1360.303297,0.025434132,3410.88,32140.17,15232.14,258.53,8106.66,0.185163483,0.153392906,58.91826867,9.422838095,6350.75,974.16,6399.75,1185.0,0.30732334884424933,0.06280601099439154,0.6298706401613592
Exp57R,female,epsilon,2.1393515967485506,1.2885836884518316,3,wild,WT,7945855,1949.721,22,2.6913195,1.0289403,26.303805,8.3724443,3.141711555,0.039117546,0.102316737,418.3893,1266.47955,59004.855,84080.43,58321.62,48.14815005,1.011714952,2243.206068,15.90603717,2217.231309,0.021463989,573.24,27877.62,5271.42,222.48,6349.26,0.18178976,0.179428604,23.69390507,48.6316726,4928.98,884.4,8156.4,1482.75,0.3293949926402078,0.02540343985157955,0.6452015675082128
