Experiment,sex,Type,Genotype,Hierarchy,Mice.chips,Animal,PC1,PC2,Archetype1_prob,Archetype2_prob,Archetype3_prob,Dominant_archetype
Exp55R,male,wild,WT,epsilon,7947702,18,-5.390639122432888,-1.2993622318852651,0.09011437892332108,0.0674594673941459,0.842426153682533,3
Exp55R,male,wild,WT,epsilon,7947702,18,-6.330268240261228,-1.9424483404308512,0.07521936042735433,0.014368275386512645,0.910412364186133,3
Exp55R,male,wild,WT,epsilon,7947702,18,-4.888777097176944,-2.2159027986139233,0.14641335293599617,0.0,0.8535866470640038,3
Exp55R,male,wild,WT,epsilon,7947702,18,-5.778583235321724,-1.422393584887176,0.07834206409533444,0.057440312140991136,0.8642176237636744,3
Exp55R,male,wild,WT,epsilon,7947702,18,-8.086886907622457,-0.09353308070338398,0.0,0.15839464180541885,0.8416053581945813,3
Exp55R,male,wild,WT,epsilon,7947702,18,-8.316298108768253,-0.2856339790502227,0.0,0.14328246048016746,0.8567175395198325,3
Exp55R,male,wild,WT,alpha,00079474c9,18,0.3211898685184083,-1.2671916788122242,0.33365650742357317,0.06636209703280228,0.5999813955436245,3
Exp55R,male,wild,WT,alpha,00079474c9,18,-2.447776116758602,-0.7582690147809084,0.19489385685278243,0.11070444825256058,0.694401694894657,3
Exp55R,male,wild,WT,alpha,00079474c9,18,-2.8663843693221276,-0.9423706375950862,0.18421726145807762,0.0956047170747573,0.720178021467165,3
Exp55R,male,wild,WT,alpha,00079474c9,18,-5.684715547925393,-1.002736162145252,0.06580445470389645,0.09242999459771112,0.8417655506983924,3
Exp55R,male,wild,WT,alpha,00079474c9,18,-5.5508758581702065,-0.9512757955545043,0.06951012057299458,0.09663954387726206,0.8338503355497434,3
Exp55R,male,wild,WT,alpha,00079474c9,18,-6.603097793131726,-1.2044926690264957,0.034404021599243176,0.07618676868438215,0.8894092097163747,3
Exp55R,male,wild,WT,gamma,0007946e6f,18,-2.4906266758986053,-1.99734707157501,0.24195464948748358,0.007238877114679745,0.7508064733978367,3
Exp55R,male,wild,WT,gamma,0007946e6f,18,-3.8503070748963615,-2.0208749480652433,0.18460658466591676,0.00617457825381063,0.8092188370802726,3
