Feature,Importance,STD
Testosterone,0.09177489177489179,0.04569521974094092
Asparagine,0.02920875420875422,0.02278148287133718
T/Cort,0.028049543049543043,0.022801519596188025
Glycine,0.02301707551707552,0.02303209600708826
DHEA,0.022867965367965367,0.026847966490233646
Aspartate,0.021168831168831167,0.012652917648961056
Serine,0.01942159692159692,0.023960949132353068
Asparagine/Aspartate,0.0161038961038961,0.015042340123859273
Tyrosine,0.015476190476190466,0.011964137644191538
Tyrosine/Tryptophan,0.014268879268879271,0.021296688208948804
GABA,0.012231842231842215,0.009456631541966777
1&2-AG/OEA,0.011904761904761888,0.008908708063747484
1&2-AG,0.011374458874458837,0.0037723708519203413
Glycine/Serine,0.01021524771524771,0.016140660578978977
OEA,0.0099242424242424,0.007877501857367448
P/Cort,0.008214285714285698,0.008366430871816235
Progesterone,0.00726190476190475,0.008567293976343841
AEA/Cort,0.005660173160173156,0.008247655073345343
SEA,0.0051082251082250965,0.008419440443431118
PEA,0.00435064935064935,0.011032571786493547
AEA,0.004188311688311683,0.008802441125729307
OEA/PEA,0.003798701298701288,0.007104209692580779
1&2-AG/Cort,0.0034632034632034615,0.009987248480570829
Arginine,0.0008333333333333304,0.0030374644814697687
Tryptophan,0.00023809523809523948,0.009814030402630897
Cort/DHEA,-0.0020238095238095167,0.008257306254218942
Glutamate/GABA,-0.003214285714285703,0.006266701042024671
Glutamate,-0.003928571428571415,0.00559777045024224
OEA/Cort,-0.004545454545454523,0.009544693749068956
PEA/Cort,-0.007662337662337633,0.0072964594236819185
Corticosterone,-0.007792207792207764,0.006504320000569987
