Feature,Importance
Testosterone,0.05919755692817343
T/Cort,0.050291408874705706
DHEA,0.04736877881772984
Asparagine,0.031735009900242375
Serine,0.028801518079118623
Tyrosine/Tryptophan,0.028648608454605224
AEA/Cort,0.025566655894557432
Glycine,0.025353465926091914
AEA,0.02119549285381277
Asparagine/Aspartate,0.020079756870409683
Aspartate,0.01991968756070204
Glycine/Serine,0.019255289268584986
OEA/Cort,0.01813543030300069
PEA/Cort,0.017566719205867273
Cort/DHEA,0.014979365840551966
GABA,0.01441831266955082
1&2-AG/Cort,0.013135599968782477
Corticosterone,0.012751522207468424
Glutamate/GABA,0.012374098903370151
Tryptophan,0.012105405470014602
SEA,0.011925194497391533
Progesterone,0.011855205812663753
Tyrosine,0.011744665826670442
P/Cort,0.011705347914462694
Glutamate,0.010554523942823421
PEA,0.010128009053870695
OEA/PEA,0.008483512781209838
OEA,0.008114030863228039
1&2-AG/OEA,0.00656074141123023
1&2-AG,0.005009990582844404
Arginine,0.003343849128235051
