Experiment,sex,Type,Genotype,Hierarchy,Mice.chips,Animal,Last.day.Glicko,RunningTime(N.events),RunningTime(min),WalkingTime(N.events),WalkingTime(min),StaticTime(N.events),StaticTime(min),movementTime(min),RunningTimeHighVelocity(N.events),RunningTimeHighVelocity(min),Median/mean.speed.(cm/sec),Median/mean.Aceleration.(cm/sec^2),Distance.traveled.(m),Angular.velocity.(rad/sec),sleepingSumTime(min),hidingSumTime(min),eatingSumTime(min),drinkingSumTime(min),Frequency.visits.the.hiding.boxes.(1/hour),Frequency.visits.outside.sleeping.box.(1/hour),ROI.exploration.(bits/hour),ArenaSumTime(min),CenterTimeAlone(min),InsideZoneTime(min),OutsideZoneTime(min),Chasing (N events),Chasing duration (sec),Being chased (N events),Being chased duration (sec),Chasing.plus.being.chasing.all(N.events),Chasing.plus.being.chasing.duration(sec),Foraging correlation,Distance pairs(cm),Together (N events),Time together(min),Contact snout-head (N events),Contact snout-rear (N events),Contact snout-head (1/min),Contact snout-rear (1/min),Approaching (N events),Approaching duration (sec),Being approached (N events),Being approached duration (sec),Approach.and.being.events,Approach.and.being.duration.sec,Avoiding (N events),Avoiding duration (sec),Avoid.and.being.events,Avoid.plus.being.duration.sec,Being avoided (N events),Being avoided duration (sec),Last.Day.Stability,Overall.Stability,Glicko.per.day.y
Exp55R,male,wild,WT,epsilon,7947702,18,1956.368,534,1.63435,3408,24.3379,2686,8.167016667,25.97225,31,0.044533333,5.639711753,45.0094641,180.3227066,2.536022754,178.0998,2.788733333,2.095133333,1.39475,7.250118821,42.25069244,0.199576032,59.10753333,9.977983333,23.24156667,11.47746667,0,0,0,0,0,0,0.027311633,15.45501795,312,4.86015,123,135,0.512508399,0.562509219,0,0,2,3.688,2,3.688,0,0,1,0.641,1,0.641,0.652528989,0.844897792,2200
Exp55R,male,wild,WT,alpha,00079474c9,18,2427.503,1275,3.90945,6517,50.56131667,4910,15.04456667,54.47076667,107,0.194533333,4.699281258,41.75014024,395.3684704,2.561924909,142.4698167,4.104916667,4.412583333,0.827083333,13.25021716,40.25065966,0.173983244,93.42133333,13.71256667,45.67781667,24.9802,7,7.281,2,2.172,9,9.453,0.088009538,22.27441851,617,9.504183333,286,320,1.191686197,1.333355186,7,6.875,5,4.985,12,11.86,2,4.156,5,7.109,3,2.953,0.762783507,0.902556701,2399.675539
Exp55R,male,wild,WT,gamma,0007946e6f,18,2074.581,783,1.818,4222,38.0785,3163,9.197283333,39.8965,64,0.09405,4.306810293,39.84149905,255.7509406,2.638732616,165.3829667,2.176866667,3.956416667,0.270816667,8.500139308,36.7506023,0.160140773,72.43623333,8.78995,30.62268333,19.26355,0,0,3,3.438,3,3.438,0.085169752,22.13895799,425,8.353683333,191,192,0.795846376,0.800013111,5,5.938,7,5.326,12,11.264,5,3.501,6,4.298,1,0.797,0.794114561,0.802237087,2037.787821
Exp55R,male,wild,WT,delta,00079485fe,18,2064.615,808,2.13035,4154,37.67455,3016,8.474733333,39.8049,65,0.096883333,4.872756187,48.48041908,258.464552,2.837442172,167.3223667,3.040933333,6.537816667,0.225566667,8.250135211,32.25052855,0.230132001,69.63276667,9.967016667,35.0353,14.07991667,2,2.234,1,0.953,3,3.187,0.041336947,16.97258453,367,6.456716667,192,211,0.800013111,0.879181075,3,4.547,4,3.672,7,8.219,2,3.218,3,6.577,1,3.359,0.817715018,0.877590578,2323.601643
Exp55R,male,wild,WT,beta,0007946daf,18,2291.438,1111,3.526733333,6492,51.3484,4987,14.7589,54.87513333,105,0.17135,4.603113946,40.52587005,365.6074634,2.670490207,126.5027667,12.04145,2.657083333,0,20.50033598,35.50058182,0.182146997,101.45185,20.57316667,42.04663333,28.9203,1,0.891,4,3.843,5,4.734,0.065756716,26.04680416,413,7.425433333,246,253,1.025016799,1.054183944,1,0.078,5,6.642,6,6.72,0,0,0,0,0,0,0.75,0.749725598,1952.796714
Exp56L,male,wild,WT,alpha,7948811,19,2485.579,1048,2.991183333,6894,55.88488333,5624,18.0605,58.87606667,142,0.2554,4.09240538,35.36710434,379.4979221,2.234947533,105.0484167,9.731383333,3.19585,1.82875,33.96801039,217.7436564,0.691876671,91.88523333,9.770983333,49.94266667,28.01293333,3,2.548,0,0,3,2.548,0.044076172,53.66850406,294,4.68405,142,136,0.687102205,0.658069717,8,5.047,0,0,8,5.047,0,0,2,2.718,2,2.718,0.75,0.95,2499.513308
Exp56L,male,wild,WT,epsilon,7947370,19,1882.776,671,2.440383333,4691,33.48198333,4008,14.47985,35.92236667,212,0.684383333,3.762973542,29.27527908,276.3511469,2.178919909,137.3182,9.311266667,0.648916667,0.013033333,22.64534026,42.67775665,0.629958494,60.03556667,5.222466667,32.60205,18.95021667,3,1.438,5,3.359,8,4.797,-0.002719344,53.68644844,78,1.675883333,23,25,0.111291202,0.120968698,0,0,4,5.282,4,5.282,0,0,1,0.485,1,0.485,1,0.896035596,2032.523747
Exp56L,male,wild,WT,beta,7948045,19,2318.6,1064,3.218916667,8657,66.63105,7444,25.48058333,69.84996667,219,0.491316667,2.950875199,25.49618394,400.7403966,2.005745245,79.36345,15.26226667,6.450483333,1.274983333,38.90353327,116.7105998,0.617518253,112.0393167,15.81926667,67.20405,29.31318333,3,2.468,3,2.392,6,4.86,0.024322283,52.9024797,285,4.970033333,161,145,0.779038415,0.701618448,1,0.25,13,5.609,14,5.859,4,4.812,4,4.812,0,0,0.805300362,0.916452303,2200
Exp56L,male,wild,WT,delta,0007947d79,19,2079.931,432,1.466966667,4067,25.34578333,3637,16.78656667,26.81275,122,0.270816667,3.207061568,20.79400942,169.0872954,2.045417708,144.0232,5.483583333,0.9002,0.008066667,10.74202038,55.74237603,0.58996923,57.15825,6.052333333,22.53085,21.91371667,2,0.718,1,0.313,3,1.031,-0.028335198,50.86420819,142,2.717233333,103,102,0.498391036,0.493552288,0,0,0,0,0,0,2,1.594,3,3.265,1,1.671,1,0.842981192,2299.837769
Exp56L,male,wild,WT,gamma,0007945de2,19,2159.97,1155,4.275216667,6333,45.27935,5193,20.14736667,49.55456667,339,0.952316667,4.383107551,30.99657233,435.0084382,2.426398813,99.24326667,25.74756667,1.523966667,0.017183333,62.71017303,74.61349291,0.464140269,81.6742,12.49361667,32.10201667,39.15216667,2,1.282,4,2.39,6,3.672,-0.001389013,63.86991269,67,1.705466667,23,21,0.111291202,0.101613706,1,0.797,1,0.25,2,1.047,2,3.342,2,3.342,0,0,1,0.923852138,2000.324461
